Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,JobSatisfaction,WorkLifeBalance,OverTime,DistanceFromHome,TrainingTimesLastYear,PerformanceRating,Attrition
58,Female,Human Resources,Research Scientist,77384,22,1,2,No,32,1,1,0
36,Female,Research & Development,Manager,141305,10,3,4,No,38,6,2,0
55,Female,Research & Development,Research Director,37527,12,2,1,Yes,3,4,2,0
46,Male,Human Resources,Research Scientist,54456,20,2,3,No,27,2,4,0
50,Female,Sales,Research Director,40559,18,4,3,Yes,19,5,4,0
49,Female,Human Resources,Sales Executive,31871,5,2,3,Yes,11,0,2,0
26,Male,Sales,Research Director,46078,13,2,3,No,20,6,4,0
33,Female,Research & Development,Research Director,92197,5,3,3,Yes,37,4,1,0
37,Male,Research & Development,Research Scientist,120369,19,4,4,No,8,4,1,0
38,Female,Research & Development,Sales Representative,108191,0,4,1,No,33,0,3,0
19,Male,Research & Development,Research Scientist,119123,20,3,2,Yes,4,1,3,0
40,Female,Research & Development,Manager,111606,23,1,3,No,29,5,4,0
24,Male,Sales,Human Resources,66696,0,1,2,No,3,3,3,1
49,Male,Sales,Research Scientist,136533,15,3,4,No,3,0,1,0
46,Male,Sales,Research Scientist,38269,1,3,3,No,2,4,3,0
56,Male,Research & Development,Manufacturing Director,109469,9,1,3,Yes,32,5,2,0
49,Male,Research & Development,Manufacturing Director,29972,8,3,1,Yes,23,1,2,0
33,Male,Sales,Sales Executive,118354,12,4,2,No,27,4,2,0
58,Male,Human Resources,Healthcare Representative,26762,22,1,3,No,7,6,4,0
35,Female,Research & Development,Laboratory Technician,44184,11,4,2,No,36,3,1,0
31,Female,Research & Development,Research Scientist,67822,9,2,4,No,32,1,3,0
56,Female,Research & Development,Laboratory Technician,108753,2,2,1,No,20,6,1,0
33,Female,Sales,Sales Executive,21148,22,3,1,Yes,36,6,3,1
21,Male,Research & Development,Human Resources,49742,7,1,2,No,6,3,1,0
37,Male,Research & Development,Human Resources,60040,11,1,2,No,12,2,4,0
51,Male,Sales,Manufacturing Director,113687,2,4,4,No,2,5,4,0
25,Male,Human Resources,Research Director,144806,7,2,4,Yes,7,0,4,0
37,Male,Research & Development,Healthcare Representative,97912,13,1,2,No,33,2,2,1
23,Female,Research & Development,Human Resources,83513,22,3,3,No,16,3,4,0
46,Female,Human Resources,Research Scientist,60397,8,1,2,No,26,4,1,0
37,Female,Human Resources,Laboratory Technician,126057,14,4,3,No,35,4,2,0
31,Male,Research & Development,Sales Representative,29478,21,1,3,No,30,2,1,0
27,Female,Research & Development,Research Scientist,32450,9,3,3,No,16,6,1,0
41,Male,Research & Development,Research Director,42159,7,2,4,No,14,4,2,0
46,Male,Sales,Manufacturing Director,51190,1,4,3,Yes,5,3,3,1
57,Male,Sales,Manufacturing Director,77315,22,3,2,No,33,6,4,0
36,Female,Sales,Healthcare Representative,142783,2,4,1,Yes,39,0,1,0
24,Male,Research & Development,Research Director,102803,5,1,3,No,20,4,2,0
52,Male,Research & Development,Sales Executive,66779,3,2,4,No,20,6,3,0
44,Male,Research & Development,Sales Representative,43555,17,4,3,No,34,4,1,0
47,Male,Research & Development,Research Director,102534,9,1,4,No,14,3,3,0
22,Male,Sales,Research Director,49173,17,4,2,No,16,2,3,0
31,Male,Research & Development,Human Resources,146777,15,4,1,No,35,1,3,0
50,Male,Research & Development,Research Director,79493,0,3,3,No,15,3,1,0
52,Male,Human Resources,Healthcare Representative,89356,7,1,1,No,37,6,1,1
36,Male,Human Resources,Healthcare Representative,136972,0,4,1,Yes,7,3,4,0
51,Male,Human Resources,Manufacturing Director,56221,1,4,3,No,20,0,4,0
53,Female,Human Resources,Research Director,78693,11,2,2,No,20,3,2,1
34,Male,Human Resources,Manufacturing Director,86813,6,3,3,Yes,12,0,3,0
55,Female,Research & Development,Manager,51595,2,1,3,No,38,6,3,0
30,Female,Sales,Sales Executive,22376,10,2,2,No,19,3,3,0
28,Male,Sales,Laboratory Technician,53305,11,1,3,No,35,1,3,0
46,Male,Research & Development,Laboratory Technician,30169,24,3,3,No,9,4,3,0
44,Male,Sales,Manufacturing Director,106216,16,3,3,No,14,3,1,0
23,Male,Sales,Healthcare Representative,15968,9,3,3,No,19,3,1,0
52,Male,Human Resources,Sales Representative,57726,11,3,2,No,22,4,4,0
26,Male,Sales,Manufacturing Director,134368,2,4,3,Yes,9,6,3,0
51,Male,Human Resources,Research Scientist,91763,9,1,3,No,13,5,1,0
18,Male,Research & Development,Healthcare Representative,105622,14,1,1,Yes,25,1,1,1
51,Female,Research & Development,Sales Executive,105249,0,1,1,Yes,11,1,1,1
51,Male,Research & Development,Research Director,55274,22,4,1,No,30,6,3,0
50,Female,Research & Development,Sales Representative,100363,12,1,1,Yes,19,4,3,0
45,Male,Research & Development,Laboratory Technician,44856,19,1,2,No,38,0,1,0
37,Female,Sales,Laboratory Technician,100792,6,1,4,No,10,3,1,0
47,Male,Human Resources,Sales Executive,107215,20,4,4,Yes,33,0,1,0
29,Female,Research & Development,Manufacturing Director,133279,9,3,4,No,20,0,2,0
50,Female,Sales,Sales Executive,139136,23,4,3,No,4,1,1,0
41,Male,Research & Development,Human Resources,18237,13,1,1,No,28,1,2,0
37,Female,Research & Development,Research Scientist,55383,15,2,2,No,9,0,1,0
39,Male,Research & Development,Manager,88860,5,3,4,No,6,5,4,0
41,Male,Research & Development,Manager,58410,24,1,4,Yes,21,3,4,0
19,Female,Sales,Laboratory Technician,98508,4,4,4,Yes,31,3,2,0
23,Female,Research & Development,Research Director,130322,0,4,2,No,11,6,4,0
28,Male,Sales,Sales Executive,49834,10,1,2,Yes,25,5,3,0
22,Female,Sales,Research Director,135605,20,4,3,No,1,5,1,0
36,Female,Sales,Sales Representative,134072,23,2,1,No,8,1,2,1
46,Female,Research & Development,Manager,138394,21,2,1,No,30,5,1,0
45,Male,Research & Development,Research Director,24927,13,4,1,No,1,6,3,0
37,Female,Research & Development,Manufacturing Director,54575,22,3,3,No,14,0,4,0
53,Male,Sales,Laboratory Technician,31754,12,1,1,Yes,20,6,3,1
41,Female,Sales,Research Scientist,31242,11,4,3,No,3,6,1,0
21,Female,Research & Development,Human Resources,22174,4,3,2,No,39,5,1,1
50,Female,Sales,Manufacturing Director,74399,19,1,4,No,20,2,2,0
42,Female,Research & Development,Research Director,26775,7,3,1,No,14,1,1,1
44,Female,Human Resources,Laboratory Technician,54928,4,3,2,No,39,5,1,0
41,Male,Research & Development,Human Resources,147484,9,2,1,Yes,22,4,2,0
41,Male,Human Resources,Research Director,134321,15,2,2,No,27,5,3,0
21,Female,Sales,Laboratory Technician,141506,6,4,3,No,4,1,1,0
41,Male,Sales,Healthcare Representative,19945,8,1,1,Yes,7,1,4,0
51,Female,Research & Development,Research Director,104222,8,3,3,No,2,6,2,0
30,Male,Research & Development,Laboratory Technician,100573,14,4,4,Yes,21,3,1,0
43,Female,Research & Development,Sales Executive,32923,17,4,1,Yes,33,5,1,1
19,Male,Sales,Laboratory Technician,137334,16,2,1,Yes,36,6,4,0
32,Male,Research & Development,Manager,69590,3,2,4,No,23,3,3,0
36,Male,Research & Development,Research Scientist,146850,8,4,3,Yes,3,1,4,0
59,Male,Research & Development,Manufacturing Director,30386,16,2,4,Yes,25,6,4,1
27,Male,Sales,Human Resources,102767,5,3,3,No,25,5,4,0
29,Male,Human Resources,Sales Executive,32649,1,3,3,No,24,4,4,0
35,Female,Sales,Sales Executive,143239,8,3,1,Yes,29,6,4,0
59,Female,Research & Development,Manufacturing Director,97025,16,3,3,Yes,22,1,4,0
53,Female,Research & Development,Sales Executive,25214,16,2,2,No,28,2,4,1
19,Female,Research & Development,Sales Executive,44001,3,2,4,No,19,0,2,0
27,Female,Research & Development,Research Scientist,63502,16,2,1,No,6,2,3,0
52,Female,Human Resources,Sales Executive,16736,4,3,1,Yes,4,3,4,0
20,Male,Sales,Research Director,16176,18,4,3,No,36,3,4,0
53,Female,Sales,Research Scientist,139939,14,3,4,No,18,1,1,0
29,Male,Research & Development,Healthcare Representative,147459,3,3,4,Yes,13,5,1,0
56,Male,Research & Development,Sales Representative,87388,8,2,3,Yes,12,3,1,0
30,Female,Sales,Manager,136868,20,4,2,No,3,3,3,0
36,Male,Sales,Manager,103455,10,2,2,No,37,6,2,0
45,Female,Research & Development,Manufacturing Director,18787,17,2,4,Yes,4,3,3,0
23,Female,Sales,Research Director,111456,18,1,1,No,9,6,1,0
41,Female,Sales,Sales Executive,17447,0,2,1,No,18,1,1,1
39,Female,Human Resources,Sales Executive,125228,23,3,3,No,14,5,4,0
50,Female,Research & Development,Research Director,64540,8,1,2,Yes,2,6,2,1
59,Male,Human Resources,Sales Executive,34069,19,1,2,No,13,5,1,0
45,Female,Human Resources,Research Scientist,49902,11,4,4,No,31,6,1,0
35,Male,Sales,Research Scientist,107252,14,4,2,No,10,5,2,0
35,Male,Research & Development,Sales Executive,129335,9,2,4,No,34,4,2,0
35,Male,Research & Development,Research Scientist,92047,21,2,1,No,15,5,4,0
52,Male,Research & Development,Manager,36665,2,3,2,No,1,6,1,0
31,Female,Sales,Manager,136520,22,4,1,No,5,4,3,0
25,Male,Sales,Sales Executive,121737,5,2,3,No,32,4,2,0
32,Female,Sales,Human Resources,70332,22,1,4,No,16,0,2,0
18,Female,Research & Development,Sales Executive,89852,0,2,4,No,39,6,2,0
22,Female,Human Resources,Sales Representative,145130,0,2,1,No,31,5,2,0
21,Female,Research & Development,Research Director,65947,2,3,4,No,2,1,3,0
50,Male,Research & Development,Healthcare Representative,18479,13,1,1,Yes,13,2,3,1
48,Male,Human Resources,Healthcare Representative,34672,6,3,3,Yes,29,1,1,0
47,Female,Research & Development,Sales Executive,96042,14,1,3,No,3,2,1,0
37,Female,Sales,Laboratory Technician,149688,20,4,1,No,39,6,1,0
48,Female,Human Resources,Research Director,114886,0,3,1,No,7,3,4,0
24,Male,Research & Development,Manufacturing Director,98428,13,1,1,No,32,2,2,1
55,Male,Sales,Sales Executive,58605,18,4,3,No,33,5,3,0
39,Male,Research & Development,Sales Representative,74316,10,3,3,Yes,20,2,2,0
57,Male,Human Resources,Sales Representative,20180,23,3,1,Yes,32,6,2,1
24,Male,Sales,Sales Executive,65102,16,1,3,Yes,35,5,1,1
38,Female,Research & Development,Sales Executive,99168,0,1,4,Yes,29,1,2,1
47,Male,Sales,Research Scientist,137273,13,4,1,No,28,4,4,0
38,Female,Sales,Sales Executive,139527,9,2,3,No,16,3,4,0
36,Female,Sales,Manager,125860,3,3,2,Yes,12,2,2,0
24,Female,Research & Development,Research Scientist,17902,23,4,2,No,34,6,3,0
34,Male,Human Resources,Manager,124510,5,2,2,No,9,2,2,0
28,Male,Sales,Research Scientist,44513,2,2,2,No,17,0,4,0
30,Female,Sales,Human Resources,98186,5,4,2,No,20,2,3,0
46,Male,Sales,Sales Representative,142762,20,1,1,Yes,16,3,4,0
44,Female,Sales,Manufacturing Director,134874,14,2,2,No,15,0,4,0
43,Female,Research & Development,Manufacturing Director,104695,20,4,3,Yes,24,5,2,0
33,Male,Research & Development,Sales Executive,55402,11,1,2,Yes,13,1,2,0
58,Female,Research & Development,Sales Executive,85319,2,2,3,Yes,39,0,3,0
21,Male,Research & Development,Healthcare Representative,110000,9,2,1,No,7,3,1,0
32,Male,Research & Development,Sales Executive,84418,4,1,1,Yes,16,1,4,1
22,Female,Sales,Manager,69600,13,1,4,No,33,5,3,0
32,Female,Sales,Manufacturing Director,69383,6,2,2,Yes,19,0,1,1
58,Male,Human Resources,Research Scientist,95999,24,4,3,Yes,28,2,2,0
33,Female,Research & Development,Healthcare Representative,19830,9,1,3,No,26,0,4,0
56,Female,Human Resources,Healthcare Representative,149750,7,3,1,No,13,2,2,0
38,Female,Human Resources,Sales Representative,28778,24,2,4,Yes,30,6,3,0
47,Male,Research & Development,Research Scientist,147910,13,4,2,No,10,4,4,0
37,Male,Human Resources,Healthcare Representative,19775,4,2,4,Yes,30,3,2,1
29,Female,Research & Development,Research Director,84203,12,4,2,No,5,1,4,0
50,Female,Sales,Laboratory Technician,71373,6,2,2,Yes,28,2,2,0
58,Female,Sales,Research Director,92471,17,4,3,No,5,2,3,0
29,Male,Sales,Sales Representative,73531,14,4,1,No,34,4,4,0
50,Male,Sales,Manufacturing Director,136138,18,2,3,Yes,25,1,1,0
28,Female,Research & Development,Research Director,17249,23,3,4,Yes,2,6,3,1
48,Male,Research & Development,Human Resources,148060,18,1,3,No,5,4,3,0
51,Male,Research & Development,Laboratory Technician,108073,8,2,1,No,8,2,3,0
36,Female,Research & Development,Human Resources,120112,5,2,3,No,38,0,4,0
48,Female,Sales,Sales Executive,33873,13,4,1,No,23,4,2,0
29,Male,Research & Development,Research Scientist,23799,11,4,1,Yes,11,3,4,0
21,Male,Research & Development,Sales Executive,68598,7,4,2,No,11,4,3,0
22,Male,Sales,Manufacturing Director,58556,20,4,2,Yes,2,4,1,0
36,Female,Sales,Human Resources,120699,22,4,1,No,8,4,3,1
55,Male,Research & Development,Manager,136035,9,4,1,Yes,34,5,1,0
23,Female,Sales,Manager,72707,17,3,4,No,24,3,4,0
37,Male,Research & Development,Sales Executive,118727,24,1,2,Yes,15,5,1,1
47,Female,Research & Development,Healthcare Representative,23040,0,4,1,No,1,2,2,0
26,Female,Research & Development,Manufacturing Director,115201,9,1,2,No,14,6,4,0
48,Female,Sales,Healthcare Representative,28410,18,1,3,No,15,2,1,0
30,Female,Research & Development,Laboratory Technician,105169,12,4,3,No,5,4,2,0
51,Female,Research & Development,Research Scientist,66590,19,1,2,No,24,6,3,0
42,Male,Sales,Human Resources,71060,11,1,1,No,26,2,2,0
40,Female,Research & Development,Manager,52307,1,3,4,Yes,39,0,3,1
25,Female,Research & Development,Manufacturing Director,69437,10,3,3,No,14,1,2,0
37,Female,Research & Development,Sales Executive,133046,10,1,4,No,11,1,2,0
53,Male,Sales,Sales Representative,124205,21,2,2,No,33,0,2,0
18,Female,Research & Development,Healthcare Representative,60942,3,1,1,No,14,3,3,0
49,Male,Sales,Manufacturing Director,54660,3,2,2,No,25,1,4,0
38,Female,Sales,Sales Representative,83730,3,1,2,No,29,0,1,0
48,Female,Sales,Research Scientist,107452,14,3,3,No,35,0,2,0
45,Male,Human Resources,Healthcare Representative,39616,24,2,3,No,13,1,1,0
36,Female,Sales,Research Director,113038,15,4,1,No,25,2,1,0
30,Female,Research & Development,Healthcare Representative,143073,20,1,3,No,6,6,4,0
44,Male,Research & Development,Sales Executive,129015,21,4,2,No,31,4,3,0
23,Male,Human Resources,Laboratory Technician,89017,15,4,3,No,2,5,4,0
42,Male,Research & Development,Sales Executive,58184,15,2,2,No,28,4,3,0
21,Female,Human Resources,Healthcare Representative,58671,6,3,3,No,9,5,3,0
45,Female,Sales,Manufacturing Director,115155,24,2,3,No,19,2,3,0
44,Female,Sales,Research Scientist,76404,19,3,2,No,3,0,3,0
21,Female,Research & Development,Sales Representative,29376,21,4,1,No,27,3,4,0
49,Female,Research & Development,Research Scientist,106482,24,3,3,No,19,0,2,0
35,Male,Research & Development,Manufacturing Director,33638,8,3,4,No,26,1,1,0
51,Male,Human Resources,Human Resources,148231,3,4,2,Yes,14,5,2,1
19,Male,Research & Development,Sales Executive,71340,21,2,4,No,1,3,1,0
25,Male,Human Resources,Laboratory Technician,61169,11,1,1,No,23,4,1,0
38,Female,Research & Development,Laboratory Technician,22455,23,3,4,No,28,3,1,1
25,Male,Sales,Healthcare Representative,37642,17,3,4,No,26,3,1,0
31,Male,Research & Development,Laboratory Technician,142939,6,1,2,Yes,11,2,3,0
45,Male,Sales,Human Resources,87510,8,3,1,Yes,28,1,3,0
24,Male,Research & Development,Sales Executive,136755,15,1,3,No,22,1,4,0
46,Male,Sales,Human Resources,144048,9,2,4,No,9,5,2,0
22,Male,Research & Development,Healthcare Representative,21606,7,4,1,No,5,6,2,0
25,Female,Research & Development,Sales Executive,66405,5,3,3,Yes,13,0,2,0
42,Male,Sales,Research Scientist,128172,16,3,4,No,1,3,4,0
51,Male,Sales,Sales Executive,81915,0,3,1,No,28,3,4,0
25,Male,Research & Development,Laboratory Technician,83698,2,1,3,No,1,3,3,0
30,Female,Sales,Laboratory Technician,91962,1,4,1,Yes,2,1,3,1
56,Female,Research & Development,Manager,109764,18,2,1,No,7,0,4,0
59,Female,Research & Development,Laboratory Technician,141731,0,4,2,No,13,1,1,0
42,Female,Sales,Sales Representative,134735,10,4,2,No,1,1,2,0
36,Female,Sales,Laboratory Technician,99387,3,1,1,No,25,0,1,1
32,Female,Research & Development,Laboratory Technician,92891,14,3,4,No,6,2,1,0
43,Male,Human Resources,Laboratory Technician,63734,0,1,1,No,32,4,2,1
42,Female,Sales,Laboratory Technician,30704,0,3,4,No,22,6,4,0
30,Male,Human Resources,Research Director,110716,10,2,1,No,4,4,2,0
18,Male,Research & Development,Laboratory Technician,15348,17,1,3,No,16,1,4,1
24,Female,Research & Development,Laboratory Technician,109253,2,3,3,No,6,2,3,0
58,Male,Research & Development,Human Resources,82084,12,4,2,No,39,2,3,0
35,Male,Research & Development,Manager,121174,20,1,2,No,24,1,1,0
38,Female,Research & Development,Research Scientist,143146,15,4,4,No,32,6,4,0
37,Male,Research & Development,Research Director,89653,18,4,1,No,15,4,1,0
50,Male,Research & Development,Research Scientist,92303,7,3,4,No,6,3,2,0
20,Female,Research & Development,Research Scientist,80795,23,4,3,Yes,10,3,4,0
21,Female,Sales,Healthcare Representative,65346,3,2,4,No,17,2,3,0
29,Male,Research & Development,Sales Representative,26998,15,3,2,No,31,2,2,0
38,Female,Sales,Research Scientist,19174,10,3,2,No,17,4,2,0
46,Female,Sales,Sales Representative,112606,0,3,3,No,37,6,2,1
38,Male,Sales,Research Scientist,138522,23,4,3,Yes,15,3,2,1
36,Male,Sales,Research Director,22270,17,4,4,No,10,1,1,0
57,Male,Research & Development,Sales Executive,59166,5,4,4,No,20,6,1,0
24,Male,Research & Development,Healthcare Representative,97107,1,3,1,No,5,2,1,0
42,Male,Research & Development,Manager,110144,16,4,1,Yes,27,0,1,1
40,Male,Sales,Laboratory Technician,114263,13,3,4,Yes,4,3,2,0
37,Male,Research & Development,Manager,108722,1,3,2,No,25,5,1,0
51,Male,Research & Development,Sales Representative,26321,24,1,3,No,15,1,3,0
29,Male,Research & Development,Manager,49274,17,2,1,No,14,1,3,0
58,Male,Research & Development,Manufacturing Director,78347,11,4,1,Yes,24,2,1,1
31,Male,Research & Development,Sales Representative,23609,5,2,2,No,28,5,4,0
40,Male,Research & Development,Sales Representative,61329,6,3,3,Yes,37,6,3,1
39,Female,Human Resources,Laboratory Technician,66975,11,4,4,No,12,5,2,0
53,Male,Research & Development,Sales Representative,147043,1,2,4,Yes,32,1,1,1
36,Female,Research & Development,Human Resources,57812,9,2,1,No,33,5,2,0
29,Female,Research & Development,Research Director,146135,5,1,1,Yes,39,2,4,0
18,Female,Sales,Sales Representative,109534,2,1,3,No,38,6,1,0
33,Female,Human Resources,Sales Representative,108456,3,3,3,No,31,6,1,0
52,Male,Research & Development,Research Director,125670,8,3,1,No,12,5,2,0
18,Female,Sales,Laboratory Technician,128712,9,2,2,Yes,28,6,4,0
55,Male,Human Resources,Sales Representative,45030,8,2,4,No,31,0,2,0
40,Male,Research & Development,Research Scientist,71823,17,1,1,No,12,4,3,0
23,Male,Sales,Manufacturing Director,86311,13,4,4,Yes,32,0,3,0
30,Male,Sales,Human Resources,146862,4,3,2,Yes,28,4,1,1
41,Male,Sales,Laboratory Technician,20482,24,1,3,No,20,2,4,0
31,Male,Research & Development,Research Director,79366,18,3,3,No,34,6,1,1
22,Female,Sales,Manufacturing Director,43924,11,2,3,No,4,3,3,0
45,Female,Human Resources,Research Scientist,42918,1,4,3,Yes,27,5,3,0
46,Male,Human Resources,Sales Executive,117837,22,2,1,No,31,2,3,0
22,Female,Research & Development,Healthcare Representative,42255,18,4,2,No,2,0,4,0
29,Male,Research & Development,Healthcare Representative,122108,11,3,4,No,16,5,3,0
28,Male,Sales,Healthcare Representative,149179,4,1,1,No,21,1,3,1
45,Female,Sales,Sales Executive,119814,2,4,3,No,9,5,1,0
48,Female,Research & Development,Laboratory Technician,37939,7,3,3,No,35,3,2,0
48,Male,Sales,Sales Executive,34222,5,2,1,No,25,6,2,0
57,Male,Sales,Laboratory Technician,74011,5,1,1,Yes,11,2,2,1
50,Male,Research & Development,Human Resources,89389,10,2,4,No,18,2,1,0
31,Male,Sales,Research Scientist,120076,1,3,1,No,5,5,1,0
22,Male,Research & Development,Sales Representative,72065,8,1,1,No,4,5,2,0
43,Female,Research & Development,Sales Executive,37553,21,2,1,No,30,0,3,0
56,Female,Research & Development,Manager,148850,21,3,3,No,39,5,4,0
58,Male,Research & Development,Human Resources,137115,0,3,4,Yes,11,3,4,0
27,Female,Research & Development,Manufacturing Director,103299,16,4,1,No,10,6,2,0
27,Male,Research & Development,Research Scientist,108887,24,1,4,No,27,4,4,0
19,Male,Research & Development,Manager,141252,14,4,3,No,20,5,2,0
23,Male,Research & Development,Laboratory Technician,79106,9,2,1,No,6,2,2,0
41,Female,Sales,Human Resources,34622,12,1,1,Yes,27,1,1,1
40,Female,Human Resources,Research Director,96804,5,4,2,Yes,9,5,3,0
33,Female,Sales,Manager,75867,9,3,1,Yes,5,0,2,0
31,Male,Sales,Manager,122966,23,3,1,No,19,4,2,0
52,Female,Sales,Manager,119167,15,2,2,No,29,6,4,1
37,Male,Research & Development,Sales Representative,78644,10,4,4,No,21,6,3,0
51,Male,Research & Development,Healthcare Representative,64660,3,1,4,No,26,5,2,0
58,Female,Research & Development,Human Resources,71977,22,1,3,No,10,3,3,0
31,Male,Human Resources,Manufacturing Director,100388,4,1,2,No,20,5,3,0
26,Female,Sales,Sales Executive,100998,18,3,2,No,28,0,3,0
58,Female,Research & Development,Sales Representative,84079,7,1,3,No,21,5,1,0
44,Female,Research & Development,Manager,86803,6,4,1,Yes,10,1,1,1
30,Male,Research & Development,Human Resources,148910,4,1,3,No,38,5,1,0
44,Male,Sales,Manufacturing Director,49254,9,3,4,No,3,2,4,0
39,Female,Sales,Manufacturing Director,38472,16,4,4,No,36,5,2,0
56,Female,Research & Development,Manager,122887,10,4,1,No,29,4,2,0
28,Female,Research & Development,Manufacturing Director,141272,0,2,2,Yes,5,6,4,1
59,Female,Research & Development,Research Director,97172,6,1,2,No,10,5,4,0
57,Male,Research & Development,Manufacturing Director,69212,4,4,3,Yes,15,6,1,0
25,Male,Research & Development,Research Director,62048,10,2,1,No,38,1,4,1
24,Female,Research & Development,Manufacturing Director,78179,22,4,4,Yes,21,2,3,0
40,Male,Sales,Laboratory Technician,22081,24,1,4,No,11,3,3,0
19,Female,Sales,Human Resources,86361,24,3,2,No,36,0,1,0
30,Male,Sales,Healthcare Representative,51395,2,1,2,Yes,5,0,3,0
36,Female,Research & Development,Sales Representative,50824,12,2,2,No,32,0,3,0
58,Female,Research & Development,Manager,90647,1,1,1,Yes,33,5,2,1
59,Male,Research & Development,Manufacturing Director,145093,12,4,4,No,16,3,3,0
24,Male,Research & Development,Human Resources,42791,14,3,4,No,2,5,1,0
55,Female,Research & Development,Manufacturing Director,138050,19,1,2,No,35,5,3,0
21,Male,Research & Development,Human Resources,85119,8,2,3,No,38,0,1,0
49,Female,Research & Development,Manufacturing Director,146342,0,2,2,No,15,5,2,0
53,Female,Research & Development,Sales Executive,66598,11,3,1,No,8,1,2,0
55,Female,Research & Development,Sales Executive,149584,10,2,2,No,11,2,1,1
27,Male,Research & Development,Human Resources,104094,15,2,1,No,6,6,4,0
55,Female,Research & Development,Healthcare Representative,105423,2,4,4,No,24,2,4,0
22,Male,Research & Development,Manufacturing Director,91034,15,3,3,Yes,21,6,2,0
39,Female,Research & Development,Research Director,75977,10,4,4,Yes,14,3,3,0
37,Female,Research & Development,Manager,85890,18,4,1,No,26,0,2,0
31,Male,Research & Development,Manager,129849,24,4,3,No,25,5,1,0
18,Male,Sales,Sales Representative,121967,5,4,3,Yes,1,0,4,1
50,Male,Research & Development,Research Scientist,18213,18,3,3,No,16,4,2,0
32,Female,Human Resources,Sales Executive,108773,3,3,4,No,34,3,4,0
45,Male,Sales,Sales Representative,127644,24,3,2,No,32,0,1,0
35,Male,Human Resources,Sales Executive,115458,12,1,1,No,34,3,1,0
33,Female,Sales,Sales Representative,82133,18,4,1,No,38,2,2,0
